player_id,name,primary_position,primary_starts,secondary_position,secondary_starts,total_starts,position_confidence,unknown_starts,position_history
285,K. Hoever,RWB,5,RB,1,6,83.3,0,RWB:5 | RB:1
19201,J. Bogle,RWB,17,RB,13,32,53.1,0,RWB:17 | RB:13 | RM:2
545,N. Mazraoui,RWB,4,RB,4,11,36.4,0,RWB:4 | RB:4 | CB:3
282770,R. Gomes,RWB,3,LWB,2,9,33.3,0,RWB:3 | LWB:2 | LW:2 | CAM:1 | RW:1
174565,H. Ekitike,ST,21,,0,21,100.0,0,ST:21
152856,Evanilson,ST,32,,0,32,100.0,0,ST:32
19366,O. Watkins,ST,33,,0,33,100.0,0,ST:33
2887,R. Jimenez,ST,27,,0,27,100.0,0,ST:27
18931,C. Wood,ST,11,,0,11,100.0,0,ST:11
196156,I. Thiago,ST,37,,0,37,100.0,0,ST:37
25391,N. Fullkrug,ST,5,,0,5,100.0,0,ST:5
2032,J. S. Larsen,ST,26,,0,26,100.0,0,ST:26
1100,E. Haaland,ST,34,,0,34,100.0,0,ST:34
25927,J. Mateta,ST,25,,0,25,100.0,0,ST:25
18979,V. Gyökeres,ST,26,,0,26,100.0,0,ST:26
250,J. Piroe,ST,2,,0,2,100.0,0,ST:2
125743,Beto,ST,17,,0,17,100.0,0,ST:17
343684,T. Barry,ST,21,,0,21,100.0,0,ST:21
1469,D. Welbeck,ST,26,,0,26,100.0,0,ST:26
195106,Rodrigo Muniz,ST,10,,0,10,100.0,0,ST:10
161948,L. Delap,ST,12,,0,12,100.0,0,ST:12
19461,L. Nmecha,ST,10,,0,10,100.0,0,ST:10
315237,W. Osula,ST,8,,0,8,100.0,0,ST:8
84087,W. Isidor,ST,11,,0,11,100.0,0,ST:11
18766,D. Calvert-Lewin,ST,30,,0,30,100.0,0,ST:30
115589,B. Sesko,ST,17,,0,17,100.0,0,ST:17
110153,T. Arokodare,ST,13,,0,13,100.0,0,ST:13
2864,A. Isak,ST,8,,0,8,100.0,0,ST:8
36927,Z. Flemming,ST,21,,0,21,100.0,0,ST:21
8598,T. Awoniyi,ST,3,,0,3,100.0,0,ST:3
392270,M. Guiu,ST,1,,0,1,100.0,0,ST:1
343311,S. Tzimas,ST,1,,0,1,100.0,0,ST:1
38750,B. Brobbey,ST,22,,0,22,100.0,0,ST:22
138822,A. Broja,ST,8,,0,8,100.0,0,ST:8
20649,Y. Wissa,ST,4,,0,4,100.0,0,ST:4
392482,C. Kostoulas,ST,2,,0,2,100.0,0,ST:2
50856,T. Castellanos,ST,17,,0,17,100.0,0,ST:17
643,Gabriel Jesus,ST,3,,0,3,100.0,0,ST:3
18883,D. Solanke,ST,11,,0,11,100.0,0,ST:11
19194,T. Abraham,ST,2,,0,2,100.0,0,ST:2
199089,L. Lucca,ST,1,,0,1,100.0,0,ST:1
9366,Igor Jesus,ST,27,CAM,1,28,96.4,0,ST:27 | CAM:1
2939,C. Wilson,ST,10,CAM,1,11,90.9,0,ST:10 | CAM:1
2413,Richarlison,ST,18,LW,2,20,90.0,0,ST:18 | LW:2
349799,E. Mayenda,ST,7,RW,1,8,87.5,0,ST:7 | RW:1
10329,Joao Pedro,ST,25,CAM,6,31,80.6,0,ST:25 | CAM:6
249,D. Malen,ST,4,RW,1,5,80.0,0,ST:4 | RW:1
70100,J. Zirkzee,ST,4,RW,1,5,80.0,0,ST:4 | RW:1
158054,N. Woltemade,ST,19,CAM,5,24,79.2,0,ST:19 | CAM:5
19484,A. Armstrong,ST,10,CAM,3,14,71.4,0,ST:10 | CAM:3 | LW:1
98936,L. Foster,ST,10,RW,4,15,66.7,0,ST:10 | RW:4 | LW:1
24888,Hwang Hee-Chan,ST,12,LW,3,18,66.7,0,ST:12 | LW:3 | CAM:2 | RW:1
81573,O. Marmoush,ST,5,LW,2,8,62.5,0,ST:5 | LW:2 | LM:1
978,K. Havertz,ST,4,CAM,2,7,57.1,0,ST:4 | CAM:2 | CM:1
21104,R. Kolo Muani,ST,10,RW,6,21,47.6,0,ST:10 | RW:6 | LW:3 | CAM:2
