alias,current_club_id,evidence
Termalica Bruk-Bet Nieciecza Klub Sportowy,15906,1
Thonon Évian Grand Genève FC,14171,1
Tigres UANL,7055,1
Tokyo Football Club,6631,1
Tokyo Verdy,3734,1
Tom Tomsk,3691,1
Torino,416,22
Torino FC,416,24
Toronto FC,11141,1
Torpedo Moscow,1186,1
Tottenham,148,23
Tottenham Hotspur,148,25
Toulouse,415,18
Trabzonspor,449,1
Tromsø Idrettslag,1293,1
UC Sampdoria,1038,1
UD Almería,3302,1
UD Las Palmas,472,1
UNAM Pumas,7633,1
US Cremonese,2239,24
US Lecce,1005,22
US Livorno 1915,1210,1
US Salernitana 1919,380,1
US Sassuolo,6574,20
UTA Arad,952,1
Udinese,410,19
Udinese Calcio,410,19
Ulsan Hyundai Football Club,3535,1
Union Berlin,89,21
Union Saint-Gilloise,3948,3
Universitatea Craiova,40812,1
Unión Magdalena,14680,1
Ural Yekaterinburg,11127,1
Urawa Red Diamonds,828,1
V-Varen Nagasaki,23581,1
VVV-Venlo,1426,1
Valencia,1049,20
Valencia CF,1049,20
Valenciennes FC,1423,1
Vancouver Whitecaps FC,6321,1
Vejle Boldklub,443,1
Vendsyssel FF,19657,1
Venezia FC,607,1
Veria NPS,2079,1
VfB Stuttgart,79,20
VfL Bochum,80,1
VfL Wolfsburg,82,17
Viborg FF,1063,1
Viking Fotballklubb,239,1
Villarreal,1050,18
Villarreal CF,1050,23
Vitesse Arnhem,499,1
Vitória Guimarães SC,2420,1
Vitória Setúbal FC,1085,1
Volga Nizhniy Novgorod (- 2016),12438,1
Volou Neos Podosferikos Syllogos,60949,1
Volyn Lutsk,4482,1
Vorskla Poltava,2740,1
Västerås Sportklubb FK,5202,1
Vålerengens Idrettsforening,76,1
WSG Tirol,2446,1
Watford FC,1010,1
Wellington Phoenix,8445,1
Werder Bremen,86,22
West Bromwich Albion,984,1
West Ham,379,20
West Ham United,379,24
Western Sydney Wanderers,36100,1
Western United FC,71084,1
Widzew Lodz,88,1
Wigan Athletic,1071,1
Willem II Tilburg,403,1
Wisla Plock,2118,1
Wolfsberger AC,4441,1
Wolverhampton Wanderers,543,18
Wolves,543,17
Yeni Malatyaspor,19789,1
Yokohama FC,943,1
Yokohama Marinos,3828,1
Yverdon Sport FC,322,1
Zaglebie Lubin,168,1
Zelvia,23568,1
Zirka Kropyvnytskyi,8838,1
Zorya Lugansk,10690,1
Zulte Waregem,3508,1
Örgryte IS,1118,1
Östers IF,1236,1
Ümraniyespor,24245,1
"Футбольный клуб ""Локомотив"" Москва",932,1
